athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Cristina Iovu,19.0,Moldova,2012,12/8/2012,Weightlifting,0,0,1,1,Cristina Iovu 19.0 Moldova 12/8/2012 Weightlifting,cristina iovu moldova weightlifting,1
Eko Irawan,23.0,Indonesia,2012,12/8/2012,Weightlifting,0,0,1,1,Eko Irawan 23.0 Indonesia 12/8/2012 Weightlifting,eko irawan indonesia weightlifting,1
Aleksandr Ivanov,23.0,Russia,2012,12/8/2012,Weightlifting,0,1,0,1,Aleksandr Ivanov 23.0 Russia 12/8/2012 Weightlifting,aleksandr ivanov russia weightlifting,1
Yuliya Kalina,23.0,Ukraine,2012,12/8/2012,Weightlifting,0,0,1,1,Yuliya Kalina 23.0 Ukraine 12/8/2012 Weightlifting,yuliya kalina ukraine weightlifting,1
Tatyana Kashirina,21.0,Russia,2012,12/8/2012,Weightlifting,0,1,0,1,Tatyana Kashirina 21.0 Russia 12/8/2012 Weightlifting,tatyana kashirina russia weightlifting,1
Hripsime Khurshudyan,25.0,Armenia,2012,12/8/2012,Weightlifting,0,0,1,1,Hripsime Khurshudyan 25.0 Armenia 12/8/2012 Weightlifting,hripsime khurshudyan armenia weightlifting,1
Kim Un-Guk,23.0,North Korea,2012,12/8/2012,Weightlifting,1,0,0,1,Kim Un-Guk 23.0 North Korea 12/8/2012 Weightlifting,kim guk north korea weightlifting,1
Irina Kulesha,26.0,Belarus,2012,12/8/2012,Weightlifting,0,0,1,1,Irina Kulesha 26.0 Belarus 12/8/2012 Weightlifting,irina kulesha belarus weightlifting,1
Li Xueying,22.0,China,2012,12/8/2012,Weightlifting,1,0,0,1,Li Xueying 22.0 China 12/8/2012 Weightlifting,xueying china weightlifting,1
Lin Qingfeng,23.0,China,2012,12/8/2012,Weightlifting,1,0,0,1,Lin Qingfeng 23.0 China 12/8/2012 Weightlifting,lin qingfeng china weightlifting,1
Lu Haojie,21.0,China,2012,12/8/2012,Weightlifting,0,1,0,1,Lu Haojie 21.0 China 12/8/2012 Weightlifting,haojie china weightlifting,1
Lu Xiaojun,28.0,China,2012,12/8/2012,Weightlifting,1,0,0,1,Lu Xiaojun 28.0 China 12/8/2012 Weightlifting,xiaojun china weightlifting,1
Maiya Maneza,26.0,Kazakhstan,2012,12/8/2012,Weightlifting,1,0,0,1,Maiya Maneza 26.0 Kazakhstan 12/8/2012 Weightlifting,maiya maneza kazakhstan weightlifting,1
Razvan Martin,20.0,Romania,2012,12/8/2012,Weightlifting,0,0,1,1,Razvan Martin 20.0 Romania 12/8/2012 Weightlifting,razvan martin romania weightlifting,1
Hiromi Miyake,26.0,Japan,2012,12/8/2012,Weightlifting,0,1,0,1,Hiromi Miyake 26.0 Japan 12/8/2012 Weightlifting,hiromi miyake japan weightlifting,1
Navab Nasirshelal,23.0,Iran,2012,12/8/2012,Weightlifting,0,1,0,1,Navab Nasirshelal 23.0 Iran 12/8/2012 Weightlifting,navab nasirshelal iran weightlifting,1
Om Yun-Chol,20.0,North Korea,2012,12/8/2012,Weightlifting,1,0,0,1,Om Yun-Chol 20.0 North Korea 12/8/2012 Weightlifting,yun chol north korea weightlifting,1
Svetlana Podobedova,26.0,Kazakhstan,2012,12/8/2012,Weightlifting,1,0,0,1,Svetlana Podobedova 26.0 Kazakhstan 12/8/2012 Weightlifting,svetlana podobedova kazakhstan weightlifting,1
Rim Jong-Sim,19.0,North Korea,2012,12/8/2012,Weightlifting,1,0,0,1,Rim Jong-Sim 19.0 North Korea 12/8/2012 Weightlifting,rim jong sim north korea weightlifting,1
Kianoush Rostami,21.0,Iran,2012,12/8/2012,Weightlifting,0,0,1,1,Kianoush Rostami 21.0 Iran 12/8/2012 Weightlifting,kianoush rostami iran weightlifting,1
Ryang Chun-Hwa,21.0,North Korea,2012,12/8/2012,Weightlifting,0,0,1,1,Ryang Chun-Hwa 21.0 North Korea 12/8/2012 Weightlifting,ryang chun hwa north korea weightlifting,1
Behdad Salimi,22.0,Iran,2012,12/8/2012,Weightlifting,1,0,0,1,Behdad Salimi 22.0 Iran 12/8/2012 Weightlifting,behdad salimi iran weightlifting,1
Marina Shkermankova,22.0,Belarus,2012,12/8/2012,Weightlifting,0,0,1,1,Marina Shkermankova 22.0 Belarus 12/8/2012 Weightlifting,marina shkermankova belarus weightlifting,1
Pimsiri Sirikaew,22.0,Thailand,2012,12/8/2012,Weightlifting,0,1,0,1,Pimsiri Sirikaew 22.0 Thailand 12/8/2012 Weightlifting,pimsiri sirikaew thailand weightlifting,1
Oleksiy Torokhtiy,26.0,Ukraine,2012,12/8/2012,Weightlifting,1,0,0,1,Oleksiy Torokhtiy 26.0 Ukraine 12/8/2012 Weightlifting,oleksiy torokhtiy ukraine weightlifting,1
Triyatno,24.0,Indonesia,2012,12/8/2012,Weightlifting,0,1,0,1,Triyatno 24.0 Indonesia 12/8/2012 Weightlifting,triyatno indonesia weightlifting,1
Svetlana Tsarukayeva,24.0,Russia,2012,12/8/2012,Weightlifting,0,1,0,1,Svetlana Tsarukayeva 24.0 Russia 12/8/2012 Weightlifting,svetlana tsarukayeva russia weightlifting,1
Wang Mingjuan,26.0,China,2012,12/8/2012,Weightlifting,1,0,0,1,Wang Mingjuan 26.0 China 12/8/2012 Weightlifting,wang mingjuan china weightlifting,1
Wu Jingbiao,23.0,China,2012,12/8/2012,Weightlifting,0,1,0,1,Wu Jingbiao 23.0 China 12/8/2012 Weightlifting,jingbiao china weightlifting,1
Valentin Xristov,18.0,Azerbaijan,2012,12/8/2012,Weightlifting,0,0,1,1,Valentin Xristov 18.0 Azerbaijan 12/8/2012 Weightlifting,valentin xristov azerbaijan weightlifting,1
Nataliya Zabolotnaya,26.0,Russia,2012,12/8/2012,Weightlifting,0,1,0,1,Nataliya Zabolotnaya 26.0 Russia 12/8/2012 Weightlifting,nataliya zabolotnaya russia weightlifting,1
Zhou Lulu,24.0,China,2012,12/8/2012,Weightlifting,1,0,0,1,Zhou Lulu 24.0 China 12/8/2012 Weightlifting,zhou lulu china weightlifting,1
Adrian Zielinski,23.0,Poland,2012,12/8/2012,Weightlifting,1,0,0,1,Adrian Zielinski 23.0 Poland 12/8/2012 Weightlifting,adrian zielinski poland weightlifting,1
Khadzhimurat Akkayev,23.0,Russia,2008,24/08/2008,Weightlifting,0,0,1,1,Khadzhimurat Akkayev 23.0 Russia 24/08/2008 Weightlifting,khadzhimurat akkayev russia weightlifting,1
Andrey Aryamnov,20.0,Belarus,2008,24/08/2008,Weightlifting,1,0,0,1,Andrey Aryamnov 20.0 Belarus 24/08/2008 Weightlifting,andrey aryamnov belarus weightlifting,1
Cao Lei,24.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Cao Lei 24.0 China 24/08/2008 Weightlifting,cao lei china weightlifting,1
Chen Wei-Ling,26.0,Chinese Taipei,2008,24/08/2008,Weightlifting,0,0,1,1,Chen Wei-Ling 26.0 Chinese Taipei 24/08/2008 Weightlifting,chen wei ling chinese taipei weightlifting,1
Chen Xiexia,25.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Chen Xiexia 25.0 China 24/08/2008 Weightlifting,chen xiexia china weightlifting,1
Chen Yanqing,29.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Chen Yanqing 29.0 China 24/08/2008 Weightlifting,chen yanqing china weightlifting,1
Yevgeny Chigishev,29.0,Russia,2008,24/08/2008,Weightlifting,0,1,0,1,Yevgeny Chigishev 29.0 Russia 24/08/2008 Weightlifting,yevgeny chigishev russia weightlifting,1
Vencelas Dabaya,27.0,France,2008,24/08/2008,Weightlifting,0,1,0,1,Vencelas Dabaya 27.0 France 24/08/2008 Weightlifting,vencelas dabaya france weightlifting,1
Gevorg Davtyan,25.0,Armenia,2008,24/08/2008,Weightlifting,0,0,1,1,Gevorg Davtyan 25.0 Armenia 24/08/2008 Weightlifting,gevorg davtyan armenia weightlifting,1
Nataliya Davydova,23.0,Ukraine,2008,24/08/2008,Weightlifting,0,0,1,1,Nataliya Davydova 23.0 Ukraine 24/08/2008 Weightlifting,nataliya davydova ukraine weightlifting,1
Mariya Grabovetskaya,21.0,Kazakhstan,2008,24/08/2008,Weightlifting,0,0,1,1,Mariya Grabovetskaya 21.0 Kazakhstan 24/08/2008 Weightlifting,mariya grabovetskaya kazakhstan weightlifting,1
Hoàng Anh Tu?n,23.0,Vietnam,2008,24/08/2008,Weightlifting,0,1,0,1,Hoàng Anh Tu?n 23.0 Vietnam 24/08/2008 Weightlifting,anh vietnam weightlifting,1
Ilya Ilyin,20.0,Kazakhstan,2008,24/08/2008,Weightlifting,1,0,0,1,Ilya Ilyin 20.0 Kazakhstan 24/08/2008 Weightlifting,ilya ilyin kazakhstan weightlifting,1
Eko Irawan,19.0,Indonesia,2008,24/08/2008,Weightlifting,0,0,1,1,Eko Irawan 19.0 Indonesia 24/08/2008 Weightlifting,eko irawan indonesia weightlifting,1
Jang Mi-Ran,24.0,South Korea,2008,24/08/2008,Weightlifting,1,0,0,1,Jang Mi-Ran 24.0 South Korea 24/08/2008 Weightlifting,jang ran south korea weightlifting,1
Prapawadee Jaroenrattanatarakoon,24.0,Thailand,2008,24/08/2008,Weightlifting,1,0,0,1,Prapawadee Jaroenrattanatarakoon 24.0 Thailand 24/08/2008 Weightlifting,prapawadee jaroenrattanatarakoon thailand weightlifting,1
Dmitry Klokov,25.0,Russia,2008,24/08/2008,Weightlifting,0,1,0,1,Dmitry Klokov 25.0 Russia 24/08/2008 Weightlifting,dmitry klokov russia weightlifting,1
Olha Korobka,22.0,Ukraine,2008,24/08/2008,Weightlifting,0,1,0,1,Olha Korobka 22.0 Ukraine 24/08/2008 Weightlifting,olha korobka ukraine weightlifting,1
Szymon Kolecki,26.0,Poland,2008,24/08/2008,Weightlifting,0,1,0,1,Szymon Kolecki 26.0 Poland 24/08/2008 Weightlifting,szymon kolecki poland weightlifting,1
Dmitry Lapikov,26.0,Russia,2008,24/08/2008,Weightlifting,0,0,1,1,Dmitry Lapikov 26.0 Russia 24/08/2008 Weightlifting,dmitry lapikov russia weightlifting,1
Li Hongli,27.0,China,2008,24/08/2008,Weightlifting,0,1,0,1,Li Hongli 27.0 China 24/08/2008 Weightlifting,hongli china weightlifting,1
Liao Hui,20.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Liao Hui 20.0 China 24/08/2008 Weightlifting,liao hui china weightlifting,1
Liu Chunhong,25.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Liu Chunhong 25.0 China 24/08/2008 Weightlifting,liu chunhong china weightlifting,1
Long Qingquan,17.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Long Qingquan 17.0 China 24/08/2008 Weightlifting,long qingquan china weightlifting,1
Lu Ying-Chi,23.0,Chinese Taipei,2008,24/08/2008,Weightlifting,0,0,1,1,Lu Ying-Chi 23.0 Chinese Taipei 24/08/2008 Weightlifting,ying chi chinese taipei weightlifting,1
Lu Yong,22.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Lu Yong 22.0 China 24/08/2008 Weightlifting,yong china weightlifting,1
Tigran G. Martirosyan,20.0,Armenia,2008,24/08/2008,Weightlifting,0,0,1,1,Tigran G. Martirosyan 20.0 Armenia 24/08/2008 Weightlifting,tigran martirosyan armenia weightlifting,1
Tigran V. Martirosyan,25.0,Armenia,2008,24/08/2008,Weightlifting,0,0,1,1,Tigran V. Martirosyan 25.0 Armenia 24/08/2008 Weightlifting,tigran martirosyan armenia weightlifting,1
Irina Nekrasova,20.0,Kazakhstan,2008,24/08/2008,Weightlifting,0,1,0,1,Irina Nekrasova 20.0 Kazakhstan 24/08/2008 Weightlifting,irina nekrasova kazakhstan weightlifting,1
Anastasiya Novikova,26.0,Belarus,2008,24/08/2008,Weightlifting,0,0,1,1,Anastasiya Novikova 26.0 Belarus 24/08/2008 Weightlifting,anastasiya novikova belarus weightlifting,1
O Jong-Ae,24.0,North Korea,2008,24/08/2008,Weightlifting,0,0,1,1,O Jong-Ae 24.0 North Korea 24/08/2008 Weightlifting,jong north korea weightlifting,1
Sibel Özkan,20.0,Turkey,2008,24/08/2008,Weightlifting,0,1,0,1,Sibel Özkan 20.0 Turkey 24/08/2008 Weightlifting,sibel zkan turkey weightlifting,1
Pak Hyon-Suk,23.0,North Korea,2008,24/08/2008,Weightlifting,1,0,0,1,Pak Hyon-Suk 23.0 North Korea 24/08/2008 Weightlifting,pak hyon suk north korea weightlifting,1
Andrey Rybakov,26.0,Belarus,2008,24/08/2008,Weightlifting,0,1,0,1,Andrey Rybakov 26.0 Belarus 24/08/2008 Weightlifting,andrey rybakov belarus weightlifting,1
Sa Jae-Hyeok,23.0,South Korea,2008,24/08/2008,Weightlifting,1,0,0,1,Sa Jae-Hyeok 23.0 South Korea 24/08/2008 Weightlifting,jae hyeok south korea weightlifting,1
Diego Fernando Salazar,27.0,Colombia,2008,24/08/2008,Weightlifting,0,1,0,1,Diego Fernando Salazar 27.0 Colombia 24/08/2008 Weightlifting,diego fernando salazar colombia weightlifting,1
Viktors Šcerbatihs,33.0,Latvia,2008,24/08/2008,Weightlifting,0,0,1,1,Viktors Šcerbatihs 33.0 Latvia 24/08/2008 Weightlifting,viktors cerbatihs latvia weightlifting,1
Marina Shainova,22.0,Russia,2008,24/08/2008,Weightlifting,0,1,0,1,Marina Shainova 22.0 Russia 24/08/2008 Weightlifting,marina shainova russia weightlifting,1
Oksana Slivenko,21.0,Russia,2008,24/08/2008,Weightlifting,0,1,0,1,Oksana Slivenko 21.0 Russia 24/08/2008 Weightlifting,oksana slivenko russia weightlifting,1
Matthias Steiner,25.0,Germany,2008,24/08/2008,Weightlifting,1,0,0,1,Matthias Steiner 25.0 Germany 24/08/2008 Weightlifting,matthias steiner germany weightlifting,1
Triyatno,20.0,Indonesia,2008,24/08/2008,Weightlifting,0,0,1,1,Triyatno 20.0 Indonesia 24/08/2008 Weightlifting,triyatno indonesia weightlifting,1
Alla Vazhenina,25.0,Kazakhstan,2008,24/08/2008,Weightlifting,0,1,0,1,Alla Vazhenina 25.0 Kazakhstan 24/08/2008 Weightlifting,alla vazhenina kazakhstan weightlifting,1
Nadezhda Yevstyukhina,20.0,Russia,2008,24/08/2008,Weightlifting,0,0,1,1,Nadezhda Yevstyukhina 20.0 Russia 24/08/2008 Weightlifting,nadezhda yevstyukhina russia weightlifting,1
Yoon Jin-Hee,22.0,South Korea,2008,24/08/2008,Weightlifting,0,1,0,1,Yoon Jin-Hee 22.0 South Korea 24/08/2008 Weightlifting,yoon jin hee south korea weightlifting,1
Zhang Xiangxiang,25.0,China,2008,24/08/2008,Weightlifting,1,0,0,1,Zhang Xiangxiang 25.0 China 24/08/2008 Weightlifting,zhang xiangxiang china weightlifting,1
Khadzhimurat Akkayev,19.0,Russia,2004,29/08/2004,Weightlifting,0,1,0,1,Khadzhimurat Akkayev 19.0 Russia 29/08/2004 Weightlifting,khadzhimurat akkayev russia weightlifting,1
Sedat Artuç,28.0,Turkey,2004,29/08/2004,Weightlifting,0,0,1,1,Sedat Artuç 28.0 Turkey 29/08/2004 Weightlifting,sedat artu turkey weightlifting,1
Giorgi Asanidze,28.0,Georgia,2004,29/08/2004,Weightlifting,1,0,0,1,Giorgi Asanidze 28.0 Georgia 29/08/2004 Weightlifting,giorgi asanidze georgia weightlifting,1
Anna Batyushko,22.0,Belarus,2004,29/08/2004,Weightlifting,0,1,0,1,Anna Batyushko 22.0 Belarus 29/08/2004 Weightlifting,anna batyushko belarus weightlifting,1
Dmitry Berestov,24.0,Russia,2004,29/08/2004,Weightlifting,1,0,0,1,Dmitry Berestov 24.0 Russia 29/08/2004 Weightlifting,dmitry berestov russia weightlifting,1
Chen Yanqing,25.0,China,2004,29/08/2004,Weightlifting,1,0,0,1,Chen Yanqing 25.0 China 29/08/2004 Weightlifting,chen yanqing china weightlifting,1
Veliçko Çolakov,22.0,Bulgaria,2004,29/08/2004,Weightlifting,0,0,1,1,Veliçko Çolakov 22.0 Bulgaria 29/08/2004 Weightlifting,veli olakov bulgaria weightlifting,1
Pyrros Dimas,32.0,Greece,2004,29/08/2004,Weightlifting,0,0,1,1,Pyrros Dimas 32.0 Greece 29/08/2004 Weightlifting,pyrros dimas greece weightlifting,1
Milen Dobrev,24.0,Bulgaria,2004,29/08/2004,Weightlifting,1,0,0,1,Milen Dobrev 24.0 Bulgaria 29/08/2004 Weightlifting,milen dobrev bulgaria weightlifting,1
Sergey Filimonov,29.0,Kazakhstan,2004,29/08/2004,Weightlifting,0,1,0,1,Sergey Filimonov 29.0 Kazakhstan 29/08/2004 Weightlifting,sergey filimonov kazakhstan weightlifting,1
Jang Mi-Ran,20.0,South Korea,2004,29/08/2004,Weightlifting,0,1,0,1,Jang Mi-Ran 20.0 South Korea 29/08/2004 Weightlifting,jang ran south korea weightlifting,1
Wandee Kameaim,26.0,Thailand,2004,29/08/2004,Weightlifting,0,0,1,1,Wandee Kameaim 26.0 Thailand 29/08/2004 Weightlifting,wandee kameaim thailand weightlifting,1
Zarema Kasayeva,17.0,Russia,2004,29/08/2004,Weightlifting,0,0,1,1,Zarema Kasayeva 17.0 Russia 29/08/2004 Weightlifting,zarema kasayeva russia weightlifting,1
Eszter Krutzler,23.0,Hungary,2004,29/08/2004,Weightlifting,0,1,0,1,Eszter Krutzler 23.0 Hungary 29/08/2004 Weightlifting,eszter krutzler hungary weightlifting,1
Le Maosheng,26.0,China,2004,29/08/2004,Weightlifting,0,1,0,1,Le Maosheng 26.0 China 29/08/2004 Weightlifting,maosheng china weightlifting,1
Lee Bae-Yeong,24.0,South Korea,2004,29/08/2004,Weightlifting,0,1,0,1,Lee Bae-Yeong 24.0 South Korea 29/08/2004 Weightlifting,lee bae yeong south korea weightlifting,1
Li Zhuo,22.0,China,2004,29/08/2004,Weightlifting,0,1,0,1,Li Zhuo 22.0 China 29/08/2004 Weightlifting,zhuo china weightlifting,1
Liu Chunhong,21.0,China,2004,29/08/2004,Weightlifting,1,0,0,1,Liu Chunhong 21.0 China 29/08/2004 Weightlifting,liu chunhong china weightlifting,1
Mabel Mosquera,35.0,Colombia,2004,29/08/2004,Weightlifting,0,0,1,1,Mabel Mosquera 35.0 Colombia 29/08/2004 Weightlifting,mabel mosquera colombia weightlifting,1
Halil Mutlu,31.0,Turkey,2004,29/08/2004,Weightlifting,1,0,0,1,Halil Mutlu 31.0 Turkey 29/08/2004 Weightlifting,halil mutlu turkey weightlifting,1
Oleg Perepechonov,28.0,Russia,2004,29/08/2004,Weightlifting,0,0,1,1,Oleg Perepechonov 28.0 Russia 29/08/2004 Weightlifting,oleg perepechonov russia weightlifting,1
Nikolay Peshalov,34.0,Croatia,2004,29/08/2004,Weightlifting,0,0,1,1,Nikolay Peshalov 34.0 Croatia 29/08/2004 Weightlifting,nikolay peshalov croatia weightlifting,1
Gleb Pisarevsky,28.0,Russia,2004,29/08/2004,Weightlifting,0,0,1,1,Gleb Pisarevsky 28.0 Russia 29/08/2004 Weightlifting,gleb pisarevsky russia weightlifting,1
Udomporn Polsak,22.0,Thailand,2004,29/08/2004,Weightlifting,1,0,0,1,Udomporn Polsak 22.0 Thailand 29/08/2004 Weightlifting,udomporn polsak thailand weightlifting,1
Valentina Popova,31.0,Russia,2004,29/08/2004,Weightlifting,0,0,1,1,Valentina Popova 31.0 Russia 29/08/2004 Weightlifting,valentina popova russia weightlifting,1
Ihor Razoronov,34.0,Ukraine,2004,29/08/2004,Weightlifting,0,1,0,1,Ihor Razoronov 34.0 Ukraine 29/08/2004 Weightlifting,ihor razoronov ukraine weightlifting,1
Hossein Reza Zadeh,26.0,Iran,2004,29/08/2004,Weightlifting,1,0,0,1,Hossein Reza Zadeh 26.0 Iran 29/08/2004 Weightlifting,hossein reza zadeh iran weightlifting,1
Ri Song-Hui,25.0,North Korea,2004,29/08/2004,Weightlifting,0,1,0,1,Ri Song-Hui 25.0 North Korea 29/08/2004 Weightlifting,song hui north korea weightlifting,1
Israel José Rubio,23.0,Venezuela,2004,29/08/2004,Weightlifting,0,0,1,1,Israel José Rubio 23.0 Venezuela 29/08/2004 Weightlifting,israel jos rubio venezuela weightlifting,1
Raema Lisa Rumbewas,23.0,Indonesia,2004,29/08/2004,Weightlifting,0,1,0,1,Raema Lisa Rumbewas 23.0 Indonesia 29/08/2004 Weightlifting,raema lisa rumbewas indonesia weightlifting,1
Andrey Rybakov,22.0,Belarus,2004,29/08/2004,Weightlifting,0,1,0,1,Andrey Rybakov 22.0 Belarus 29/08/2004 Weightlifting,andrey rybakov belarus weightlifting,1
Taner Sagir,19.0,Turkey,2004,29/08/2004,Weightlifting,1,0,0,1,Taner Sagir 19.0 Turkey 29/08/2004 Weightlifting,taner sagir turkey weightlifting,1
Viktors Šcerbatihs,29.0,Latvia,2004,29/08/2004,Weightlifting,0,1,0,1,Viktors Šcerbatihs 29.0 Latvia 29/08/2004 Weightlifting,viktors cerbatihs latvia weightlifting,1
Shi Zhiyong,24.0,China,2004,29/08/2004,Weightlifting,1,0,0,1,Shi Zhiyong 24.0 China 29/08/2004 Weightlifting,shi zhiyong china weightlifting,1
Nataliya Skakun,23.0,Ukraine,2004,29/08/2004,Weightlifting,1,0,0,1,Nataliya Skakun 23.0 Ukraine 29/08/2004 Weightlifting,nataliya skakun ukraine weightlifting,1
Tatyana Stukalova,28.0,Belarus,2004,29/08/2004,Weightlifting,0,0,1,1,Tatyana Stukalova 28.0 Belarus 29/08/2004 Weightlifting,tatyana stukalova belarus weightlifting,1
Tang Gonghong,25.0,China,2004,29/08/2004,Weightlifting,1,0,0,1,Tang Gonghong 25.0 China 29/08/2004 Weightlifting,tang gonghong china weightlifting,1
Nurcan Taylan,20.0,Turkey,2004,29/08/2004,Weightlifting,1,0,0,1,Nurcan Taylan 20.0 Turkey 29/08/2004 Weightlifting,nurcan taylan turkey weightlifting,1
Pawina Thongsuk,25.0,Thailand,2004,29/08/2004,Weightlifting,1,0,0,1,Pawina Thongsuk 25.0 Thailand 29/08/2004 Weightlifting,pawina thongsuk thailand weightlifting,1
Eduard Tyukin,26.0,Russia,2004,29/08/2004,Weightlifting,0,0,1,1,Eduard Tyukin 26.0 Russia 29/08/2004 Weightlifting,eduard tyukin russia weightlifting,1
Aree Wiratthaworn,24.0,Thailand,2004,29/08/2004,Weightlifting,0,0,1,1,Aree Wiratthaworn 24.0 Thailand 29/08/2004 Weightlifting,aree wiratthaworn thailand weightlifting,1
Agata Wróbel,22.0,Poland,2004,29/08/2004,Weightlifting,0,0,1,1,Agata Wróbel 22.0 Poland 29/08/2004 Weightlifting,agata bel poland weightlifting,1
Wu Meijin,24.0,China,2004,29/08/2004,Weightlifting,0,1,0,1,Wu Meijin 24.0 China 29/08/2004 Weightlifting,meijin china weightlifting,1
Nataliya Zabolotnaya,19.0,Russia,2004,29/08/2004,Weightlifting,0,1,0,1,Nataliya Zabolotnaya 19.0 Russia 29/08/2004 Weightlifting,nataliya zabolotnaya russia weightlifting,1
Zhang Guozheng,29.0,China,2004,29/08/2004,Weightlifting,1,0,0,1,Zhang Guozheng 29.0 China 29/08/2004 Weightlifting,zhang guozheng china weightlifting,1
Giorgi Asanidze,25.0,Georgia,2000,1/10/2000,Weightlifting,0,0,1,1,Giorgi Asanidze 25.0 Georgia 1/10/2000 Weightlifting,giorgi asanidze georgia weightlifting,1
Galabin Boevski,25.0,Bulgaria,2000,1/10/2000,Weightlifting,1,0,0,1,Galabin Boevski 25.0 Bulgaria 1/10/2000 Weightlifting,galabin boevski bulgaria weightlifting,1
Andrey Chemerkin,28.0,Russia,2000,1/10/2000,Weightlifting,0,0,1,1,Andrey Chemerkin 28.0 Russia 1/10/2000 Weightlifting,andrey chemerkin russia weightlifting,1
Chen Xiaomin,23.0,China,2000,1/10/2000,Weightlifting,1,0,0,1,Chen Xiaomin 23.0 China 1/10/2000 Weightlifting,chen xiaomin china weightlifting,1
Pyrros Dimas,28.0,Greece,2000,1/10/2000,Weightlifting,1,0,0,1,Pyrros Dimas 28.0 Greece 1/10/2000 Weightlifting,pyrros dimas greece weightlifting,1
Ding Meiyuan,20.0,China,2000,1/10/2000,Weightlifting,1,0,0,1,Ding Meiyuan 20.0 China 1/10/2000 Weightlifting,ding meiyuan china weightlifting,1
Cheryl Haworth,17.0,United States,2000,1/10/2000,Weightlifting,0,0,1,1,Cheryl Haworth 17.0 United States 1/10/2000 Weightlifting,cheryl haworth united state weightlifting,0
Marc Huster,30.0,Germany,2000,1/10/2000,Weightlifting,0,1,0,1,Marc Huster 30.0 Germany 1/10/2000 Weightlifting,marc huster germany weightlifting,1
Sri Indriyani,21.0,Indonesia,2000,1/10/2000,Weightlifting,0,0,1,1,Sri Indriyani 21.0 Indonesia 1/10/2000 Weightlifting,sri indriyani indonesia weightlifting,1
Soraya Jiménez,23.0,Mexico,2000,1/10/2000,Weightlifting,1,0,0,1,Soraya Jiménez 23.0 Mexico 1/10/2000 Weightlifting,soraya jim nez mexico weightlifting,1
Akakios Kakiasvili,31.0,Greece,2000,1/10/2000,Weightlifting,1,0,0,1,Akakios Kakiasvili 31.0 Greece 1/10/2000 Weightlifting,akakios kakiasvili greece weightlifting,1
Ioanna Khatziioannou,26.0,Greece,2000,1/10/2000,Weightlifting,0,0,1,1,Ioanna Khatziioannou 26.0 Greece 1/10/2000 Weightlifting,ioanna khatziioannou greece weightlifting,1
Szymon Kolecki,18.0,Poland,2000,1/10/2000,Weightlifting,0,1,0,1,Szymon Kolecki 18.0 Poland 1/10/2000 Weightlifting,szymon kolecki poland weightlifting,1
Kuo Yi-Hang,25.0,Chinese Taipei,2000,1/10/2000,Weightlifting,0,0,1,1,Kuo Yi-Hang 25.0 Chinese Taipei 1/10/2000 Weightlifting,kuo hang chinese taipei weightlifting,1
Sergey Lavrenov,28.0,Belarus,2000,1/10/2000,Weightlifting,0,0,1,1,Sergey Lavrenov 28.0 Belarus 1/10/2000 Weightlifting,sergey lavrenov belarus weightlifting,1
Li Feng-Ying,25.0,Chinese Taipei,2000,1/10/2000,Weightlifting,0,1,0,1,Li Feng-Ying 25.0 Chinese Taipei 1/10/2000 Weightlifting,feng ying chinese taipei weightlifting,1
Lin Weining,21.0,China,2000,1/10/2000,Weightlifting,1,0,0,1,Lin Weining 21.0 China 1/10/2000 Weightlifting,lin weining china weightlifting,1
Karnam Malleswari,25.0,India,2000,1/10/2000,Weightlifting,0,0,1,1,Karnam Malleswari 25.0 India 1/10/2000 Weightlifting,karnam malleswari india weightlifting,1
Georgi Markov,22.0,Bulgaria,2000,1/10/2000,Weightlifting,0,1,0,1,Georgi Markov 22.0 Bulgaria 1/10/2000 Weightlifting,georgi markov bulgaria weightlifting,1
Erzsébet Márkus-Peresztegi,31.0,Hungary,2000,1/10/2000,Weightlifting,0,1,0,1,Erzsébet Márkus-Peresztegi 31.0 Hungary 1/10/2000 Weightlifting,erzs bet rkus peresztegi hungary weightlifting,1
Arsen Melikyan,24.0,Armenia,2000,1/10/2000,Weightlifting,0,0,1,1,Arsen Melikyan 24.0 Armenia 1/10/2000 Weightlifting,arsen melikyan armenia weightlifting,1
